ENST00000263100.8	NM_130786.4	A1BG	MANE Select
ENST00000318602.12	NM_000014.6	A2M	MANE Select
ENST00000307719.9	NM_000662.8	NAT1	MANE Select
ENST00000286479.4	NM_000015.3	NAT2	MANE Select
ENST00000393078.5	NM_001085.5	SERPINA3	MANE Select
ENST00000232892.12	NM_001086.3	AADAC	MANE Select
ENST00000248450.9	NM_001087.5	AAMP	MANE Select
ENST00000392492.8	NM_001088.3	AANAT	MANE Select
ENST00000261772.13	NM_001605.3	AARS1	MANE Select
ENST00000268251.13	NM_020686.6	ABAT	MANE Select
ENST00000374736.8	NM_005502.4	ABCA1	MANE Select
ENST00000341511.11	NM_001606.5	ABCA2	MANE Select
ENST00000301732.10	NM_001089.3	ABCA3	MANE Select
ENST00000373394.8	NM_001271696.3	ABCB7	MANE Select
ENST00000326195.13	NM_001025091.2	ABCF1	MANE Select
ENST00000370225.4	NM_000350.3	ABCA4	MANE Select
ENST00000318560.6	NM_005157.6	ABL1	MANE Select
ENST00000360937.9	NM_001091.4	AOC1	MANE Select
ENST00000502732.6	NM_007314.4	ABL2	MANE Select
ENST00000644422.3	NM_020469.4	ABO	MANE Select
ENST00000302538.10	NM_021962.5	ABR	MANE Select
ENST00000333167.13	NM_001607.4	ACAA1	MANE Select
ENST00000616317.5	NM_198834.3	ACACA	MANE Select
ENST00000338432.12	NM_001093.4	ACACB	MANE Select
ENST00000233710.4	NM_001608.4	ACADL	MANE Select
ENST00000370841.9	NM_000016.6	ACADM	MANE Select
ENST00000242592.9	NM_000017.4	ACADS	MANE Select
ENST00000358776.7	NM_001609.4	ACADSB	MANE Select
ENST00000356839.10	NM_000018.4	ACADVL	MANE Select
ENST00000265838.9	NM_000019.4	ACAT1	MANE Select
ENST00000367048.5	NM_005891.3	ACAT2	MANE Select
ENST00000225823.7	NM_183377.2	ASIC2	MANE Select
ENST00000447966.7	NM_001095.4	ASIC1	MANE Select
ENST00000241069.11	NM_000665.5	ACHE	MANE Select
ENST00000352035.7	NM_001096.3	ACLY	MANE Select
ENST00000309951.8	NM_002197.3	ACO1	MANE Select
ENST00000216139.10	NM_001097.3	ACR	MANE Select
ENST00000216254.9	NM_001098.3	ACO2	MANE Select
ENST00000293217.10	NM_004035.7	ACOX1	MANE Select
ENST00000272065.10	NM_004300.4	ACP1	MANE Select
ENST00000672073.1	NM_001610.4	ACP2	MANE Select
ENST00000648477.1	NM_001611.5	ACP5	MANE Select
ENST00000336375.10	NM_001099.5	ACP3	MANE Select
ENST00000533904.6	NM_001612.6	ACRV1	MANE Select
ENST00000366684.7	NM_001100.4	ACTA1	MANE Select
ENST00000224784.10	NM_001613.4	ACTA2	MANE Select
ENST00000646664.1	NM_001101.5	ACTB	MANE Select
ENST00000290378.6	NM_005159.5	ACTC1	MANE Select
ENST00000573283.7	NM_001614.5	ACTG1	MANE Select
ENST00000345517.8	NM_001615.4	ACTG2	MANE Select
ENST00000252699.7	NM_004924.6	ACTN4	MANE Select
ENST00000429709.7	NM_004301.5	ACTL6A	MANE Select
ENST00000394419.9	NM_001130004.2	ACTN1	MANE Select
ENST00000366578.6	NM_001103.4	ACTN2	MANE Select
ENST00000513398.2	NM_001104.4	ACTN3	MANE Select
ENST00000434821.7	NM_001111067.4	ACVR1	MANE Select
ENST00000257963.9	NM_004302.5	ACVR1B	MANE Select
ENST00000241416.12	NM_001616.5	ACVR2A	MANE Select
ENST00000352511.5	NM_001106.4	ACVR2B	MANE Select
ENST00000388922.9	NM_000020.3	ACVRL1	MANE Select
ENST00000636358.2	NM_000666.3	ACY1	MANE Select
ENST00000238618.8	NM_001107.5	ACYP1	MANE Select
ENST00000394666.9	NM_138448.4	ACYP2	MANE Select
ENST00000372874.9	NM_000022.4	ADA	MANE Select
ENST00000445355.8	NM_001109.5	ADAM8	MANE Select
ENST00000260408.8	NM_001110.4	ADAM10	MANE Select
ENST00000368474.9	NM_001111.5	ADAR	MANE Select
ENST00000348831.9	NM_001112.4	ADARB1	MANE Select
ENST00000381312.6	NM_018702.4	ADARB2	MANE Select
ENST00000297323.12	NM_021116.4	ADCY1	MANE Select
ENST00000338316.9	NM_020546.3	ADCY2	MANE Select
ENST00000679454.1	NM_004036.5	ADCY3	MANE Select
ENST00000462833.6	NM_183357.3	ADCY5	MANE Select
ENST00000357869.8	NM_015270.5	ADCY6	MANE Select
ENST00000673801.1	NM_001114.5	ADCY7	MANE Select
ENST00000286355.10	NM_001115.3	ADCY8	MANE Select
ENST00000294016.8	NM_001116.4	ADCY9	MANE Select
ENST00000450565.8	NM_001099733.2	ADCYAP1	MANE Select
ENST00000304166.9	NM_001118.5	ADCYAP1R1	MANE Select
